".variable",".value",".lower",".upper",".width",".point",".interval","model"
"b_Intercept",1.47270189023752,-1.71310024774472,4.31984943203836,0.95,"median","hdci","modOUT_rsf_abs"
"b_areaAKDE",-0.11202825391991,-0.14690626902853,-0.0829707392657081,0.95,"median","hdci","modOUT_rsf_abs"
"b_areaKDEhref",-0.117517909369256,-0.149078559972008,-0.083609425180996,0.95,"median","hdci","modOUT_rsf_abs"
"b_areadBBMM",0.16868882650299,0.13150276859182,0.197306657337113,0.95,"median","hdci","modOUT_rsf_abs"
"b_availPointsPerScaled",-0.179891363233217,-0.192729001769035,-0.169029200922775,0.95,"median","hdci","modOUT_rsf_abs"
"b_contourScaled",-0.131214722257172,-0.14364234147535,-0.119598832847398,0.95,"median","hdci","modOUT_rsf_abs"
"b_samplingPatternst",-0.0318113791106568,-0.0544580234032144,-0.00934058413178496,0.95,"median","hdci","modOUT_rsf_abs"
"b_tdScaled",-0.625342235648172,-0.650354131126517,-0.601321301196634,0.95,"median","hdci","modOUT_rsf_abs"
"b_tdScaled:areaAKDE",0.0257766417586117,-0.0109760519371498,0.0579929326528233,0.95,"median","hdci","modOUT_rsf_abs"
"b_tdScaled:areaKDEhref",0.00445115403703318,-0.0266140234878117,0.0384414514796741,0.95,"median","hdci","modOUT_rsf_abs"
"b_tdScaled:areadBBMM",-0.26937146815062,-0.303801048388779,-0.236382697541806,0.95,"median","hdci","modOUT_rsf_abs"
"b_tfScaled",-1.08003665127194,-1.1044694458037,-1.05701398403926,0.95,"median","hdci","modOUT_rsf_abs"
"b_tfScaled:areaAKDE",0.0634491552892205,0.0341331968333966,0.0999388029733339,0.95,"median","hdci","modOUT_rsf_abs"
"b_tfScaled:areaKDEhref",0.0663856230727252,0.0327058944344452,0.0978374235903174,0.95,"median","hdci","modOUT_rsf_abs"
"b_tfScaled:areadBBMM",0.0853289783527542,0.0526601331718933,0.119118036114491,0.95,"median","hdci","modOUT_rsf_abs"
"b_weightingScaled",0.0456933986775088,0.0337033443566586,0.0580615996714526,0.95,"median","hdci","modOUT_rsf_abs"
"b_Intercept",0.217902236002359,-1.05897076075382,1.77625318344762,0.95,"median","hdci","modOUT_rsf_raw"
"b_areaAKDE",0.385672225439045,0.347289701594231,0.422693913494577,0.95,"median","hdci","modOUT_rsf_raw"
"b_areaKDEhref",0.427196851967625,0.390898027824761,0.465945723846273,0.95,"median","hdci","modOUT_rsf_raw"
"b_areadBBMM",-0.0352834755689866,-0.0696717893896029,0.00287153544435409,0.95,"median","hdci","modOUT_rsf_raw"
"b_availPointsPerScaled",0.329667304454905,0.316507915221158,0.342483778276897,0.95,"median","hdci","modOUT_rsf_raw"
"b_contourScaled",0.270326603291861,0.257395914063338,0.283931772010627,0.95,"median","hdci","modOUT_rsf_raw"
"b_samplingPatternst",0.0496656695038704,0.021352320826145,0.0732304022539278,0.95,"median","hdci","modOUT_rsf_raw"
"b_tdScaled",-0.466962497180605,-0.492784537985759,-0.436362715281464,0.95,"median","hdci","modOUT_rsf_raw"
"b_tdScaled:areaAKDE",-0.200620830206623,-0.242183366742926,-0.160712645196198,0.95,"median","hdci","modOUT_rsf_raw"
"b_tdScaled:areaKDEhref",-0.198032486895447,-0.241580987233471,-0.163361423607544,0.95,"median","hdci","modOUT_rsf_raw"
"b_tdScaled:areadBBMM",0.262040665497862,0.224717474064233,0.30298533033556,0.95,"median","hdci","modOUT_rsf_raw"
"b_tfScaled",-0.275142426801967,-0.303197528933998,-0.250650231297469,0.95,"median","hdci","modOUT_rsf_raw"
"b_tfScaled:areaAKDE",-0.213241237263093,-0.247343517707491,-0.174193487298351,0.95,"median","hdci","modOUT_rsf_raw"
"b_tfScaled:areaKDEhref",-0.301722370831424,-0.33808130216364,-0.264843100100102,0.95,"median","hdci","modOUT_rsf_raw"
"b_tfScaled:areadBBMM",-0.308956577463249,-0.345607281702949,-0.272856639783854,0.95,"median","hdci","modOUT_rsf_raw"
"b_weightingScaled",-0.0937365563625482,-0.106965965977581,-0.0793939701726037,0.95,"median","hdci","modOUT_rsf_raw"
"b_Intercept",0.162378906443003,-0.200307690481538,0.801108959026707,0.95,"median","hdci","modOUT_wides_abs"
"b_areaAKDE",0.000891218955586018,-0.00131618418668129,0.00322482371866022,0.95,"median","hdci","modOUT_wides_abs"
"b_areaKDEhref",0.000731348054719063,-0.0016275076344967,0.00292040899217984,0.95,"median","hdci","modOUT_wides_abs"
"b_areadBBMM",0.000746644514523074,-0.00138061858608489,0.00306491150830362,0.95,"median","hdci","modOUT_wides_abs"
"b_availPointsPerScaled",-0.00424609207595975,-0.00497761107629639,-0.00342496317786316,0.95,"median","hdci","modOUT_wides_abs"
"b_contourScaled",0.00338349793855383,0.00261671594854865,0.00418735089774478,0.95,"median","hdci","modOUT_wides_abs"
"b_samplingPatternst",-0.00179288926409295,-0.00330343313376867,-0.000185796529782335,0.95,"median","hdci","modOUT_wides_abs"
"b_tdScaled",-0.0201834183413978,-0.0218991029633675,-0.0186080990379947,0.95,"median","hdci","modOUT_wides_abs"
"b_tdScaled:areaAKDE",-0.00406178283609723,-0.00641692147143957,-0.00166248558754596,0.95,"median","hdci","modOUT_wides_abs"
"b_tdScaled:areaKDEhref",-0.00336568181757958,-0.00590759761652369,-0.00127349962354176,0.95,"median","hdci","modOUT_wides_abs"
"b_tdScaled:areadBBMM",-0.00210653190171576,-0.00441955167851361,0.000379852958164862,0.95,"median","hdci","modOUT_wides_abs"
"b_tfScaled",-0.0133313537213511,-0.0149911572494088,-0.0118276435357973,0.95,"median","hdci","modOUT_wides_abs"
"b_tfScaled:areaAKDE",-0.0003180609372351,-0.00252881222079076,0.00201924141651719,0.95,"median","hdci","modOUT_wides_abs"
"b_tfScaled:areaKDEhref",-0.00183300239047134,-0.00426363429562036,0.000459223058330377,0.95,"median","hdci","modOUT_wides_abs"
"b_tfScaled:areadBBMM",-0.00181004392452471,-0.0041197038077696,0.00047169449665443,0.95,"median","hdci","modOUT_wides_abs"
"b_Intercept",0.00560388738819933,-0.220603537685023,0.250955721091456,0.95,"median","hdci","modOUT_wides_raw"
"b_areaAKDE",0.01264829975773,0.00930882779982459,0.0158081385026742,0.95,"median","hdci","modOUT_wides_raw"
"b_areaKDEhref",0.0123822692040043,0.00890352224446552,0.0155400497682691,0.95,"median","hdci","modOUT_wides_raw"
"b_areadBBMM",0.0107944803673346,0.00771703742827344,0.0141099435811693,0.95,"median","hdci","modOUT_wides_raw"
"b_availPointsPerScaled",-0.00239632295520611,-0.00351489906741772,-0.0012239031608891,0.95,"median","hdci","modOUT_wides_raw"
"b_contourScaled",0.00803261014876631,0.00689235528645016,0.00923936079611281,0.95,"median","hdci","modOUT_wides_raw"
"b_samplingPatternst",-0.000733869209768217,-0.00327065788246804,0.00127124872965464,0.95,"median","hdci","modOUT_wides_raw"
"b_tdScaled",-0.0228662575408933,-0.0251097577462201,-0.0204268794087971,0.95,"median","hdci","modOUT_wides_raw"
"b_tdScaled:areaAKDE",-0.00173750594585718,-0.00527247090926157,0.00145698050094017,0.95,"median","hdci","modOUT_wides_raw"
"b_tdScaled:areaKDEhref",-0.000297535238555721,-0.00359849434220502,0.00313705879175393,0.95,"median","hdci","modOUT_wides_raw"
"b_tdScaled:areadBBMM",0.00207603653178486,-0.00147231811436519,0.00528371831616791,0.95,"median","hdci","modOUT_wides_raw"
"b_tfScaled",0.0128360556137027,0.0103704033803843,0.0150067013217637,0.95,"median","hdci","modOUT_wides_raw"
"b_tfScaled:areaAKDE",-0.00277624435963839,-0.00625938366137313,0.000456089682122091,0.95,"median","hdci","modOUT_wides_raw"
"b_tfScaled:areaKDEhref",-0.00429119115564272,-0.00753037983051295,-0.000888405704686683,0.95,"median","hdci","modOUT_wides_raw"
"b_tfScaled:areadBBMM",-0.00557804273683192,-0.00890970665906232,-0.00213047859210816,0.95,"median","hdci","modOUT_wides_raw"
"b_Intercept",1.50965791885012,-1.43036161648835,4.30775292109406,0.95,"median","hdci","modOUT_ssf_abs"
"b_availablePerStepScaled",-0.0215633487081462,-0.0679808382470153,0.0245434860428903,0.95,"median","hdci","modOUT_ssf_abs"
"b_modelFormmf.ss",-0.00561794412265224,-0.097797901747999,0.0867827812702328,0.95,"median","hdci","modOUT_ssf_abs"
"b_stepDistgamma",-0.0204351632663186,-0.120644429244733,0.0678948674200476,0.95,"median","hdci","modOUT_ssf_abs"
"b_tdScaled",-0.978852223453735,-1.02994088608118,-0.932555146431149,0.95,"median","hdci","modOUT_ssf_abs"
"b_tfScaled",-1.18348548624168,-1.23254163284204,-1.13759065834437,0.95,"median","hdci","modOUT_ssf_abs"
"b_turnDistvonmises",0.00251717285262691,-0.0894709388329477,0.0995933797953311,0.95,"median","hdci","modOUT_ssf_abs"
"b_Intercept",1.09009797022678,-2.00292803766582,4.00399345582626,0.95,"median","hdci","modOUT_ssf_raw"
"b_availablePerStepScaled",-0.00436378194978732,-0.0564205821415059,0.0414127517088312,0.95,"median","hdci","modOUT_ssf_raw"
"b_modelFormmf.ss",0.0263564324515207,-0.0712496394850304,0.11920818988811,0.95,"median","hdci","modOUT_ssf_raw"
"b_stepDistgamma",0.00152196773409751,-0.0902653610875873,0.0925635456899293,0.95,"median","hdci","modOUT_ssf_raw"
"b_tdScaled",-1.03945558536601,-1.08916619928452,-0.990381620934914,0.95,"median","hdci","modOUT_ssf_raw"
"b_tfScaled",-1.13589415248041,-1.18209249131426,-1.08458536948531,0.95,"median","hdci","modOUT_ssf_raw"
"b_turnDistvonmises",-0.00501356199802311,-0.103486027566959,0.0873270348595887,0.95,"median","hdci","modOUT_ssf_raw"
"b_Intercept",1.02247133735228,-0.785302797115431,2.54591735092275,0.95,"median","hdci","modOUT_wrsf_abs"
"b_tdScaled",-0.263821675592491,-0.376953029845736,-0.146859715611679,0.95,"median","hdci","modOUT_wrsf_abs"
"b_tfScaled",-0.282042816588554,-0.406602840979485,-0.167428145892504,0.95,"median","hdci","modOUT_wrsf_abs"
"b_Intercept",0.393728476341864,-0.741576874746376,1.47746745833141,0.95,"median","hdci","modOUT_wrsf_raw"
"b_tdScaled",-0.313989384835138,-0.447009906838702,-0.168106285515718,0.95,"median","hdci","modOUT_wrsf_raw"
"b_tfScaled",-0.185490416251309,-0.316298357554433,-0.0380234031775187,0.95,"median","hdci","modOUT_wrsf_raw"
