"model","R2","SE","CI","CI_low","CI_high","Component"
"modOUT_rsf_abs",0.0968972521266241,0.000816964245038475,0.95,0.095257492976675,0.0985026356545298,"conditional"
"modOUT_rsf_abs",0.0337089546454466,0.000498933778850683,0.95,0.0329037965527391,0.0347842601177852,"marginal"
"modOUT_rsf_raw",0.078382799852177,0.000722766759035019,0.95,0.0767855837940758,0.0796815936220182,"conditional"
"modOUT_rsf_raw",0.0285223645384688,0.000434643774951892,0.95,0.0277807102558799,0.0295108989199695,"marginal"
"modOUT_wides_abs",0.27900085758308,0.00238221041913316,0.95,0.273964157142022,0.283503532944913,"conditional"
"modOUT_wides_abs",0.022970549421262,0.000916569694838786,0.95,0.0213582683288622,0.0249037724979233,"marginal"
"modOUT_wides_raw",0.301922691523573,0.00229869312626834,0.95,0.297352324219091,0.306343995491499,"conditional"
"modOUT_wides_raw",0.0303804087586827,0.00102328570224857,0.95,0.0285441999163346,0.0322870445379153,"marginal"
"modOUT_ssf_abs",0.224839581540502,0.00360369579773208,0.95,0.217651231069177,0.232153021724199,"conditional"
"modOUT_ssf_abs",0.0637716366385892,0.00237159659838154,0.95,0.0591831522719607,0.0684395910894454,"marginal"
"modOUT_ssf_raw",0.22566291640216,0.00354708503570522,0.95,0.21876625473835,0.233050185738301,"conditional"
"modOUT_ssf_raw",0.0621594036056877,0.00226480841899016,0.95,0.0573230642253969,0.066473350599491,"marginal"
"modOUT_wrsf_abs",0.0876970623491469,0.0193156082248682,0.95,0.0509049255939725,0.124753147604093,"conditional"
"modOUT_wrsf_abs",0.0213938810715547,0.00961045435538854,0.95,0.00537061589845761,0.0426664036730781,"marginal"
"modOUT_wrsf_raw",0.167975043902462,0.0220276146152176,0.95,0.124899754194997,0.212012700203593,"conditional"
"modOUT_wrsf_raw",0.016491753552958,0.00810262543077756,0.95,0.00277263229338937,0.0324299476232388,"marginal"
