"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_BADGER.1",-0.184985021111035,-0.843771775112678,0.473801732890607,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.2",0.212840108910008,-0.40677726048134,0.832457478301356,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.3",-0.132085145918717,-0.758083374365854,0.49391308252842,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.4",-0.231083587892125,-0.856313631477138,0.394146455692888,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.5",-0.0703014293896306,-0.681172040171571,0.54056918139231,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.6",-0.169534389910675,-0.822865445933416,0.483796666112065,"ssf","mf.is","gamma","unif",5,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.7",-0.0884397137726633,-0.722509168390372,0.545629740845046,"ssf","mf.is","gamma","unif",15,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.8",0.0651228009317677,-0.545118337159231,0.675363939022767,"ssf","mf.is","gamma","unif",50,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.9",-0.0585361496897935,-0.67503600706672,0.557963707687133,"ssf","mf.is","gamma","unif",158,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.10",-0.0835232658632382,-0.698859450083908,0.531812918357432,"ssf","mf.is","gamma","unif",500,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
